Name ,Gov. structure ,Suffrage ,Race ,Misc. ,Overall ,Bloc ,Faction,State
"Springfield, Henry ",0.86,1,1,1,4.82,S. White ,Radicals ,AL
"Haughey, Thomas ",1,0.85,1,1,4.81,S. White ,Radicals ,AL
"Kennamer, Seaborn ",1,0.85,1,1,4.81,S. White ,Radicals ,AL
"Brainard, Mark ",0.83,1,1,- ,4.72,0. White ,Radicals ,AL
"Finley, Peyton ",0.83,1,1,- ,4.72,Black ,Radicals ,AL
"Applegate, Andrew ",1,0.77,1,1,4.71,O.White ,Radicals ,AL
"Garrison, William ",0.86,0.9,1,1,4.7,S. White ,Radicals ,AL
"Peters, Thomas ",0.8,0.92,1,1,4.65,s. White ,Radicals ,AL
"Inge, Benjamin ",1,0.92,1,0.75,4.59,Black ,Radicals ,AL
"Strother, Alfred ",1,0.92,1,0.75,4.58,Black ,Radicals ,AL
"McGown, Hugh ",0.71,0.92,1,1,4.54,,Radicals ,AL
"Buckley, William (Lowndes) ",1,0.82,0.8,1,4.52,O.White ,Radicals ,AL
"Johnson, Washington (Russell) ",0.86,1,1,0.75,4.51,Black ,Radicals ,AL
"Jones, Columbus (Madison) ",1,0.92,0.67,1,4.49,Black ,Radicals ,AL
"Green, James ",1,0.82,0.75,1,4.46,Black ,Radicals ,AL
"Carraway, John ",1,0.9,0.67,1,4.46,Black ,Radicals ,AL
"Buckley, Charles (Montgomery) ",0.83,0.73,1,1,4.45,0. White ,Radicals ,AL
"Alexander, Benjamin (Greene) ",0.86,1,1,0.67,4.4,Black ,Radicals ,AL
"Walker, James (Shelby) ",0.83,1,0.67,1,4.38,S. White ,Radicals ,AL
"Gregory, Ovid ",1,0.91,0.83,0.75,4.37,Black ,Radicals ,AL
"Russell, Henry (Barbour) ",0.57,0.88,1,1,4.31,S. White ,Radicals ,AL
"Steed, Calvin ",1,0.85,0.6,1,4.31,S. White ,Radicals ,AL
"Morton, John ",0.67,0.77,1,1,4.29,S. White ,Radicals ,AL
"Adams, Thomas ",0.86,0.9,0.67,1,4.28,S. White ,Radicals ,AL
"Diggs, Thomas ",1,0.92,1,0.5,4.28,Black ,Radicals ,AL
"Hatcher, Jordan ",1,0.92,1,0.5,4.28,Black ,Radicals ,AL
"Norris, Benjamin ",0.57,0.85,1,1,4.27,0. White ,Radicals ,AL
"Burdick, J. H. ",- ,0.56,1,1,4.26,O.White ,Radicals ,AL
"Morgan, Albion ",0.83,0.54,1,1,4.21,0. White ,Radicals ,AL
"Moore, Stephen ",0.57,0.77,1,1,4.18,S. White ,Radicals ,AL
"Royal, Benjamin ",1,1,0.83,0.5,4.17,Black ,Radicals ,AL
"Johnson, R. M. (Henry) ",0.75,0.89,- ,- ,4.1,0. White ,Radicals ,AL
"Ewing, William ",0.67,0.58,1,1,4.06,S. White ,Radicals ,AL
"Dykes, George ",0.83,0.67,0.67,1,3.96,S. White ,Radicals ,AL
"Whitney, Charles ",0.67,0.83,0.67,1,3.96,,Radicals ,AL
"Skinner, William ",0.67,0.82,0.67,1,3.94,S. White ,Radicals ,AL
"Silsby, John ",- ,0.85,1,0.5,3.91,O.White ,Radicals ,AL
"Robinson, Lafayette ",1,0.77,0.6,0.75,3.9,Black ,Radicals ,AL
"Autrey, James ",0.71,1,0.33,1,3.81,S.White ,Radicals ,AL
"Coon, Dantus ",1,0.75,1,0.25,3.75,O.White ,Radicals ,AL
"Gardner, Samuel ",0.83,0.92,1,0.25,3.75,0. White ,Radicals ,AL
"Simmons, Calvin ",0.67,0.73,0.6,1,3.74,S. White ,Radicals ,AL
"Bingham, Arthur (Talladega) ",0.83,0.91,1,0.25,3.74,S. White ,Radicals ,AL
"Lore, David ",0.86,0.8,1,0.33,3.74,S. White ,Radicals ,AL
"Miller, Charles ",0.83,0.64,1,0.5,3.71,0. White ,Radicals ,AL
"Rapier, James ",0.83,0.75,0.6,0.75,3.67,Black ,Radicals ,AL
"Keffer, John ",0.83,0.85,1,0.25,3.66,0. White ,Radicals ,AL
"Davis, Joseph ",0.83,0.83,0.25,1,3.65,S. White ,Radicals ,AL
"Lee, Thomas ",0.5,0.92,1,0.5,3.65,Black ,Radicals ,AL
