Name ,Gov. structure/ Econ. ,Race ,Misc. ,Suff. ,Overall ,Bloc ,Faction,State
"Degener, Edward ",1,1,1,1,5,S. White ,Radicals ,TX
"Mullens, Shepherd ",,- ,1,1,5,Black ,Radicals ,TX
"Patten, Nathan ",1,0.94,1,1,4.92,S. White ,Radicals ,TX
Ruby George ,0.93,1,1,1,4.91,Black ,Radicals ,TX
"Hunt, Horatio ",1,1,1,0.92,4.9,0. White ,Radicals ,TX
"Butler, james ",1,- ,0.92,1,4.87,0. White ,Radicals ,TX
"Keuchler, Jacob ",0.94,0.94,1,1,4.85,S. White ,Radicals ,TX
"Davis, Edmund ",0.94,1,1,0.92,4.83,S. White ,Radicals ,TX
"Long, Ralph ",0.93,0.94,1,0.92,4.73,Black ,Radicals ,TX
"Lippard, John ",1,0.79,1,1,4.73,S. White ,Radicals ,TX
"Downing, Andrew ",0.94,0.88,1,0.92,4.68,0. White ,Radicals ,TX
"Newcomb, James ",1,0.81,1,0.92,4.67,S.White ,Radicals ,TX
"Smith, George ",0.87,1,- ,- ,4.67,0. White ,Radicals ,TX
"Hamilton, Morgan ",- ,- ,1,0.85,4.62,S. White ,Radicals ,TX
"Whitmore, George ",0.94,0.71,1,- ,4.41,S. White ,Radicals ,TX
"Bryant, Charles ",0.73,0.85,0.94,- ,4.2,Black ,Radicals ,TX
"jordan, A. P. H. ",0.56,0.83,1,0.77,3.96,S. White ,Radicals ,TX
"Slaughter, George ",0.71,0.57,0.94,0.92,3.94,0. White ,Radicals ,TX
"Bledsoe, Albert ",0.88,0.54,0.94,,3.94,S.White ,Radicals ,TX
"Kendall, Mitchell ",0.53,0.94,0.94,0.54,3.7,Black ,Radicals ,TX
"Foster, Henry ",0.44,1,- ,- ,3.59,S. White ,Radicals ,TX
"Smith, Robert ",0.19,0.67,0.94,0.92,3.4,0. White ,Radicals ,TX
"Fayle, William ",0.46,0.9,0.82,0.5,3.36,S. White ,Radicals ,TX
"Evans, Andrew ",0.54,,0.8,- ,3.35,S. White ,Radicals ,TX
