name,suffrage,misc,gov,race,econ,overall,bloc,faction,state
"Ashley, Samuel ",1,1,1,1,1,5,O.White ,Radicals ,NC
"Carter, Sylvester ",1,1,1,1,1,5,S. White ,Radicals ,NC
"Franklin, Stokes ",1,1,1,1,1,5,S. White ,Radicals ,NC
"Harris, James ",1,1,1,1,1,5,Black ,Radicals ,NC
"Robbins, Parker ",1,- ,1,1,1,5,Black ,Radicals ,NC
"Stilwell, Silas ",1,1,1,1,1,5,S. White ,Radicals ,NC
"Smith, Jerry ",0.93,1,1,1,1,4.93,S. White ,Radicals ,NC
"Ragland, John ",0.91,1,1,1,1,4.91,S. White ,Radicals ,NC
"Bryan, John ",1,1,1,1,0.89,4.89,S. White ,Radicals ,NC
"Morton, Levi ",0.91,1,1,1,-,4.89,S. White ,Radicals ,NC
"French, John ",1,1,0.88,1,1,4.88,0. White ,Radicals ,NC
"Chilson, Henry ",1,1,0.86,1,1,4.86,0. White ,Radicals ,NC
"Galloway, Abraham ",0.86,1,1,1,1,4.86,Black ,Radicals ,NC
"Gunter, William ",0.86,1,1,1,1,4.86,S. White ,Radicals ,NC
"Watts, Samuel ",1,1,0.83,1,1,4.83,S. White ,Radicals ,NC
"Laflin, Byron ",0.82,1,1,1,1,4.82,0. White ,Radicals ,NC
"Carey, Wilson ",1,0.8,1,1,1,4.8,Black ,Radicals ,NC
"Heaton, David ",1,0.8,1,1,1,4.8,0. White ,Radicals ,NC
"Mann,W.A. ",1,1,0.8,1,1,4.8,0. White ,Radicals ,NC
"Abbot, Joseph ",0.92,1,0.86,1,1,4.78,O.White ,Radicals ,NC
"Grant, Hiram",1,0.8,1,1,,4.75,0. White ,Radicals ,NC
"Gulley, Nathan ",1,0.75,1,1,1,4.75,s. White ,Radicals ,NC
"Pierson, Clinton ",1,0.75,1,1,1,4.75,Black ,Radicals ,NC
"fucker, George ",0.92,0.8,1,1,1,4.72,S.White ,Radicals ,NC
"Beanbow, Evan ",1,,0.83,1,,4.72,S. White ,Radicals ,NC
"Legg,Edwin ",0.86,1,0.86,1,1,4.71,0. White ,Radicals ,NC
"Blume, William ",1,0.83,1,1,0.88,4.71,S. White ,Radicals ,NC
"French, F. F. ",0.7,1,1,1,1,4.7,0. White ,Radicals ,NC
"Taylor, William Matchet ",0.89,1,1,0.8,1,4.69,S. White ,Radicals ,NC
"Kinney, Isaac ",0.85,0.83,1,1,1,4.68,S. White ,Radicals ,NC
"Mayo, Cuffee ",0.85,0.83,1,1,1,4.68,Black ,Radicals ,NC
